2022-11-16 21:54:32,745 INFO    Thread-114:143091 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-16 21:54:32,748 INFO    Thread-114:143091 [wandb_run.py:_footer_sync_info():3333] logging synced files
2022-11-16 21:54:36,767 INFO    Thread-130:143091 [wandb_setup.py:_flush():68] Configure stats pid to 143091
2022-11-16 21:54:36,767 INFO    Thread-130:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/.config/wandb/settings
2022-11-16 21:54:36,767 INFO    Thread-130:143091 [wandb_setup.py:_flush():68] Loading settings from /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/settings
2022-11-16 21:54:36,767 INFO    Thread-130:143091 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'oscarscholin', 'project': 'Astro101_Project', 'root_dir': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1', 'run_id': 'lsnttd96', 'sweep_param_path': '/home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/sweep-wl0oejnj/config-lsnttd96.yaml', 'sweep_id': 'wl0oejnj'}
2022-11-16 21:54:36,767 INFO    Thread-130:143091 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2022-11-16 21:54:36,767 INFO    Thread-130:143091 [wandb_init.py:_log_setup():476] Logging user logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_215436-lsnttd96/logs/debug.log
2022-11-16 21:54:36,767 INFO    Thread-130:143091 [wandb_init.py:_log_setup():477] Logging internal logs to /home/oscar47/Desktop/astro101/Astro101-Final-Project/nn_v0.0.1/wandb/run-20221116_215436-lsnttd96/logs/debug-internal.log
2022-11-16 21:54:36,768 INFO    Thread-130:143091 [wandb_init.py:init():516] calling init triggers
2022-11-16 21:54:36,768 INFO    Thread-130:143091 [wandb_init.py:init():519] wandb.init called with sweep_config: {'batch_size': 64, 'dropout': 0.0704639985750154, 'epochs': 96, 'learning_rate': 0.02418599682898961, 'size_1': 249, 'size_2': 156, 'size_3': 66, 'size_4': 162, 'size_5': 77}
config: {}
2022-11-16 21:54:36,768 INFO    Thread-130:143091 [wandb_init.py:init():569] starting backend
2022-11-16 21:54:36,768 INFO    Thread-130:143091 [wandb_init.py:init():573] setting up manager
2022-11-16 21:54:36,770 INFO    Thread-130:143091 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-16 21:54:36,771 INFO    Thread-130:143091 [wandb_init.py:init():580] backend started and connected
2022-11-16 21:54:36,776 INFO    Thread-130:143091 [wandb_run.py:_config_callback():1160] config_cb None None {'batch_size': 64, 'dropout': 0.0704639985750154, 'epochs': 96, 'learning_rate': 0.02418599682898961, 'size_1': 249, 'size_2': 156, 'size_3': 66, 'size_4': 162, 'size_5': 77}
2022-11-16 21:54:36,778 INFO    Thread-130:143091 [wandb_run.py:_label_probe_notebook():1113] probe notebook
2022-11-16 21:54:36,778 INFO    Thread-130:143091 [wandb_run.py:_label_probe_notebook():1123] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2022-11-16 21:54:36,778 INFO    Thread-130:143091 [wandb_init.py:init():658] updated telemetry
2022-11-16 21:54:36,800 INFO    Thread-130:143091 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-16 21:54:37,335 INFO    Thread-130:143091 [wandb_run.py:_on_init():2000] communicating current version
2022-11-16 21:54:37,364 INFO    Thread-130:143091 [wandb_run.py:_on_init():2004] got version response 
2022-11-16 21:54:37,364 INFO    Thread-130:143091 [wandb_init.py:init():728] starting run threads in backend
